Order ID,Order Date,Customer ID,Product Name,Category,Quantity,Price,Year,Month,Month_Name,Total Sales
1001,2024-01-01,CUST100,Laptop,Electronics,1,55000,2024,1,January,55000
1002,2024-01-02,CUST101,Mouse,Accessories,2,800,2024,1,January,1600
1003,2024-01-03,CUST102,Keyboard,Accessories,1,1500,2024,1,January,1500
1004,2024-01-04,CUST103,Monitor,Electronics,1,12000,2024,1,January,12000
1005,2024-01-05,CUST104,Laptop,Electronics,2,55000,2024,1,January,110000
1006,2024-01-06,CUST105,Headphones,Accessories,1,2500,2024,1,January,2500
1007,2024-01-07,CUST106,Mouse,Accessories,3,800,2024,1,January,2400
1008,2024-01-08,CUST107,Keyboard,Accessories,2,1500,2024,1,January,3000
1009,2024-01-09,CUST108,Monitor,Electronics,1,12000,2024,1,January,12000
1010,2024-01-10,CUST109,Laptop,Electronics,1,55000,2024,1,January,55000
1011,2024-01-11,CUST110,Mouse,Accessories,2,800,2024,1,January,1600
1012,2024-01-12,CUST111,Keyboard,Accessories,1,1500,2024,1,January,1500
1013,2024-01-13,CUST112,Headphones,Accessories,2,2500,2024,1,January,5000
1014,2024-01-14,CUST113,Monitor,Electronics,1,12000,2024,1,January,12000
1015,2024-01-15,CUST114,Laptop,Electronics,1,55000,2024,1,January,55000
1016,2024-01-16,CUST115,Mouse,Accessories,3,800,2024,1,January,2400
1017,2024-01-17,CUST116,Keyboard,Accessories,2,1500,2024,1,January,3000
1018,2024-01-18,CUST117,Headphones,Accessories,1,2500,2024,1,January,2500
1019,2024-01-19,CUST118,Monitor,Electronics,1,12000,2024,1,January,12000
1020,2024-01-20,CUST119,Laptop,Electronics,2,55000,2024,1,January,110000
